Country,2020-03-18 18:53,2020-03-18 19:07,2020-03-18 19:17,2020-03-18 19:27,2020-03-18 20:09,2020-03-18 20:18,2020-03-18 20:28,2020-03-18 20:57,2020-03-18 21:07,2020-03-18 21:17,2020-03-18 21:27,2020-03-18 21:37,2020-03-18 21:47,2020-03-18 21:57,2020-03-18 22:07,2020-03-18 22:17,2020-03-18 22:27,2020-03-18 22:37,2020-03-18 22:47,2020-03-18 22:57,2020-03-18 23:07,2020-03-18 23:17,2020-03-18 23:27,2020-03-18 23:37,2020-03-18 23:47,2020-03-18 23:57,2020-03-19 00:07,2020-03-19 00:17,2020-03-19 00:27,2020-03-19 00:37,2020-03-19 00:47,2020-03-19 00:57,2020-03-19 01:07,2020-03-19 01:17,2020-03-19 01:27,2020-03-19 01:37,2020-03-19 01:47,2020-03-19 01:57,2020-03-19 02:07,2020-03-19 02:17,2020-03-19 02:27,2020-03-19 02:37,2020-03-19 02:47,2020-03-19 02:57,2020-03-19 03:07,2020-03-19 03:17,2020-03-19 03:27,2020-03-19 03:37,2020-03-19 03:47,2020-03-19 03:57,2020-03-19 04:17,2020-03-19 04:27,2020-03-19 04:37,2020-03-19 04:47,2020-03-19 04:57,2020-03-19 05:07,2020-03-19 05:28
CONFIRMED,214894,214894.0,214894.0,214894.0,214894.0,214894.0,214894.0,214894.0,214894.0,215947.0,215955.0,215955.0,215956.0,215956.0,217247.0,217247.0,217977.0,218177.0,218177.0,218177.0,218631.0,218743.0,218743.0,218743.0,218743.0,218743.0,218743.0,218743.0,218777.0,218777.0,218809.0,218814.0,218814.0,218815.0,218815.0,218815.0,218815.0,218815.0,218815.0,218815.0,218815.0,218815.0,218815.0,218815.0,218823.0,218823.0,218824.0,218824.0,218824.0,218824.0,218824,218825,218827,218827,218827,218827,218827
DEATHS,8732,8732.0,8732.0,8732.0,8732.0,8732.0,8732.0,8732.0,8732.0,8749.0,8749.0,8749.0,8757.0,8757.0,8784.0,8784.0,8800.0,8800.0,8805.0,8805.0,8809.0,8809.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810.0,8810,8810,8810,8810,8810,8811,8811
RECOVERED,83313,83313.0,83313.0,83313.0,83313.0,83313.0,83313.0,83313.0,83323.0,83328.0,83328.0,83328.0,84080.0,84080.0,84083.0,84083.0,84100.0,84112.0,84112.0,84113.0,84113.0,84113.0,84113.0,84113.0,84113.0,84113.0,84113.0,84113.0,84113.0,84113.0,84113.0,84113.0,84113.0,84113.0,84114.0,84114.0,84114.0,84114.0,84114.0,84114.0,84114.0,84114.0,84114.0,84118.0,84118.0,84118.0,84118.0,84118.0,84118.0,84118.0,84121,84121,84121,84121,84121,84121,84122
Afghanistan,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22,22,22,22,22,22,22
Albania,59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59,59,59,59,59,59,59
Algeria,72,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,74,74,74,74,74,74,74
Andorra,39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,53,53,53,53,53,53,53
Argentina,79,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,97,97,97,97,97,97,97
Armenia,84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,110,110,110,110,110,110,110
Australia,568,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568,568,568,568,568,568,568
Austria,1646,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646,1646,1646,1646,1646,1646,1646
Azerbaijan,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,34,34,34,34,34,34,34
Bahrain,256,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256,256,256,256,256,256,256
